Secteur,Randonnée ou sentier,Longueur,Degré de difficulté,Lieu de départ
Secteurs GROTTE-À-LA-PATATE et OBSERVATION - Parc national d'Anticosti,La Grotte-à-la-Patate,"3 km (aller-retour) 2 h",Intermédiaire,Stationnement de la Grotte,,
Secteurs GROTTE-À-LA-PATATE et OBSERVATION - Parc national d'Anticosti,Les Falaises,"3 km (boucle)
1 h 30",Facile,Stationnement Observation (branche Est)
Secteurs GROTTE-À-LA-PATATE et OBSERVATION - Parc national d'Anticosti,Le Brûlé-de-1955,"8 km (boucle)
4 h",Intermédiaire,Stationnement Observation (branche Ouest)
Secteurs GROTTE-À-LA-PATATE et OBSERVATION - Parc national d'Anticosti,Observation-la-Mer,"4 km
(aller-retour)
2 h",Facile,Stationnement Observation-la-Mer
Secteur DE LA CHUTE VAURÉAL - Parc national d'Anticosti,Le Canyon-de-la-Vauréal,"7 km
(aller-retour)
3 h",Intermédiaire,Stationnement du Canyon
Secteur DE LA CHUTE VAURÉAL - Parc national d'Anticosti,Les Pins-Blancs,"6 km
(aller-retour)
3 h",Intermédiaire,Stationnement du Canyon
Secteur DE LA CHUTE VAURÉAL - Parc national d'Anticosti,Les Cerisiers,"4 km
(aller-retour)
2 h",Facile,Stationnement Vauréal-la-Mer
Secteur DE LA CHUTE VAURÉAL - Parc national d'Anticosti,La Vallée,"24 km
(aller-retour)
12 h",Difficile,Stationnement du Canyon ou Vauréal-la-Mer
Secteur BAIE-DE-LA-TOUR - Parc national d'Anticosti,Les Sentinelles,"2 km
(aller-retour)
1 h",Facile,Aire de pique-nique (Anse-du-Sentier-Vert)
Secteur BAIE-DE-LA-TOUR - Parc national d'Anticosti,Les Télégraphes,"5 km (boucle)
2 h",Intermédiaire,Camping Baie-de-la-Tour ou stationnement du lac Baie-de-la-Tour
Secteur BAIE-DE-LA-TOUR - Parc national d'Anticosti,Les Aigles,"1 km
(aller-retour)
1 h",Facile,Stationnement (Anse-du-Sentier-Vert)
Secteur BAIE-DE-LA-TOUR - Parc national d'Anticosti,Chute-Baie-de-la-Tour,"3 km
(aller-retour)
2 h",Intermédiaire,Stationnement (Chute-Baie-de-la-Tour),,
NORD DE L'ÎLE (McDONALD) - À l'extérieur du parc,La Sauvagesse,"14 km
(aller-retour)
7 h",Difficile,Auberge McDonald
NORD DE L'ÎLE (McDONALD) - À l'extérieur du parc,La Falaise-Puyjalon,"9 km
(aller-retour)
4 h",Intermédiaire,Anse de la Sauvagesse
SUD DE L'ÎLE (CHICOTTE-LA-MER) - À l'extérieur du parc,Le Petit-canyon-de-la-Chicotte,"1,5 km
(aller-retour)
45 min",Facile,Centre de services de Chicotte-la-Mer
SUD DE L'ÎLE (CHICOTTE-LA-MER) - À l'extérieur du parc,Les Échoueries,"12 km
(aller-retour)
4 h",Intermédiaire,Centre de services de Chicotte-la-Mer
Secteur CHICOTTE - Parc national d'Anticosti,Le Canyon-de-la-Chicotte,"7 km (boucle)
4 h",Intermédiaire,Stationnement du Canyon